Namespace,Controller,Desired_Replicas,CPU_Per_Replica,Mem_GiB_Per_Replica,Desired_CPU_Cores,Desired_Mem_GiB,Pool_Hint
bab-dev-web-baas,Deployment/rmb-docs-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/session-rules-manager,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/shorten-url-ms,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/sme-loan-app,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/statement-generator,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/statement-integrator-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/statement-manager-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/statement-poller,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/tanfeeth-report-poller,1,0.3000,0.5000,0.3000,0.5000,SHARED
bab-dev-web-baas,Deployment/utility-service,1,0.3000,0.5000,0.3000,0.5000,SHARED
openshift-azure-guardrails,Deployment/gatekeeper-controller-manager,3,0.1000,0.5000,0.3000,1.5000,SHARED
openshift-controller-manager,Deployment/controller-manager,3,0.1000,0.0977,0.3000,0.2930,SHARED
openshift-route-controller-manager,Deployment/route-controller-manager,3,0.1000,0.0977,0.3000,0.2930,SHARED
bab-dev-cp4i,StatefulSet/apic-dev-ptl-930a1aac-db,1,0.3000,3.1250,0.3000,3.1250,SHARED
bab-dev-baasplatform-apps-01,Deployment/baas-sdk-manager-api-runtime,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-baasplatform-apps-01,Deployment/baas-turmeric-b2b-runtime,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-baasplatform-apps-01,Deployment/baas-turmeric-ob-runtime,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-baasplatform-apps-01,Deployment/baas-turmeric-opb-runtime,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-arx22-sso,1,0.2500,0.2441,0.2500,0.2441,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-api-analytics,1,0.2500,0.9766,0.2500,0.9766,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-api-billing,1,0.2500,0.9766,0.2500,0.9766,SHARED
