"SubscriptionId","VMName","ResourceGroup","OS","ExtensionPresent","ExtensionType","ProvisioningState","ExtensionVersion"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABASAPKADLV01","BAB-DEV-BAAS-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABASAPKADLV02","BAB-DEV-BAAS-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABASAPKADLV03","BAB-DEV-BAAS-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABASDBRDDLV01","BAB-DEV-BAAS-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACAIAPASDWV01","BAB-DEV-BCAI-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACAIAPLEDWV01","BAB-DEV-BCAI-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACAIDBSQDWV01","BAB-DEV-BCAI-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACAIWBLPDWV01","BAB-DEV-BCAI-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABDMAPWBDWV1","BAB-DEV-BDS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABDMDBSQDWV1","BAB-DEV-BDS-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABIBADLDDWV1","BAB-DEV-BIB-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAIBGADLDDWV1","BAB-DEV-BIB-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABORAPXXDWV1","BAB-DEV-BO-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DASAPAPBODWV1","BAB-DEV-BO-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DASAPAPDMDWV1","BAB-DEV-BO-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DASAPWBBODWV1","BAB-DEV-BO-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABPMAPWSDLV1","BAB-DEV-BPM-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DABPMDBORDLV1","BAB-DEV-BPM-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DATCRAPMODLV1","BAB-DEV-CASHINST-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DTAZCBDAWWV01","BAB-DEV-CBDC-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DAFISAPWSDLV1","BAB-DEV-CORTEX-SWEC-RG-01","Linux","Yes","MDE.Linux","Succeeded","1.0"
