"SubscriptionId","ResourceGroup","MigrateProject","MachineName","TargetVMName","TargetResourceGroup","TargetLocation","ReplicationStatus","MigrationState","DiskCount","TotalDiskSizeGB","DiskDetails","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SMSGWCOIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:31"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2TFSDBSQDWV3",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:31"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2ENTDBSQDWV2",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:32"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2FISAPSEIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:33"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2CCAAPNGIWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:34"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MFAAPWSILV4",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:35"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2SNWDBORDLV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:36"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2EMBDBSQDWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:36"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2MISAPXXTWV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:37"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2FAMDBORILV1",,,,"Delta sync","Replicating","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:38"
"d88f0b5b-6660-4607-8c6a-395820400912","azuremigrate-rg-01","AzureMigrateProject-DevSIT-01","D2TMSAPMODLV1",,,,"Paused","MigrationSucceeded","0","0","","Success","Replication stopped and ASR disks deleted","2025-10-23 16:26:39"
