"SubscriptionId","SubscriptionName","VaultName","VaultResourceGroup","VaultLocation","MachineName","ReplicationHealth","ProtectionState","ProtectionStateDescription","ReplicationProvider","FabricName","ContainerName","DiskCount","TotalDiskSizeGB","CacheStorageGB","DiskDetails","MonthlyCostSavings","AnnualCostSavings","ASRInstanceCost","DiskStorageCost","LastRpoCalculatedTime","RpoInSeconds","Status","Message","Timestamp"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRCRMRSWV01","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRCRMRSWV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DTAZRTFSAPWV02","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAT24APNTSWV1","Normal","UnplannedFailoverCommitted","Failover committed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DASHPFEDBDWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DASHPDBSQOWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAAXIWBSWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAIBMDBSLV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DATFSAPAIDWV1","Normal","UnplannedFailoverCommitPendingStatesBegin","Failover completed","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
"d88f0b5b-6660-4607-8c6a-395820400912","BAB-Core","bab-core-migrt-rsv-swec-01","BAB-Core-Migration-01","swedencentral","DAMOJAPSWV1","Critical","Protected","Protected","ASRAzureToAzureSpecificRPIDetails","UAE North","asr-a2a-default-uaenorth-container","0","0","0","","25","300","25","0",,,"WhatIf","Simulation - no changes made","2025-10-23 17:04:21"
